Scientific Name,Accession,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Ateles geoffroyi,GCA_004024785.1,Euarchontoglires,173,79.0,"Mir-1388, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2188, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-350, Mir-4057, Mir-456, Mir-458, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",196,89.5,"Mir-1271, Mir-1329, Mir-1343, Mir-1379, Mir-1397, Mir-1416, Mir-1911, Mir-2184, Mir-2387, Mir-325, Mir-345, Mir-361, Mir-384, Mir-4541, Mir-460, Mir-590, Mir-653, Mir-672, Mir-722, Mir-737, Mir-770, Mir-935, Mir-9851"
Aquila chrysaetos chrysaetos,GCA_900496995.2,Neognathae,107,83.59,"Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-76",112,87.5,"Mir-1467, Mir-1720, Mir-1781, Mir-2984, Mir-727"
Aplysia californica,GCA_000002075.2,Mollusca,36,69.23,"Mir-190, Mir-1984, Mir-1994, Mir-278, Mir-281, Mir-31, Mir-315, Mir-36, Mir-67, Mir-76",42,80.77,"Mir-1985, Mir-1986, Mir-1990, Mir-210, Mir-242, Mir-2722"
Erebia aethiops,GCA_923060345.1,Lepidoptera,49,73.13,"Mir-12, Mir-242, Mir-3049, Mir-375",63,94.03,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Machimus atricapillus,GCA_933228815.1,Diptera,46,68.66,"Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-36, Mir-71",61,91.04,"Mir-1175, Mir-193, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-306, Mir-316, Mir-750, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Tiphia femorata,GCA_944319695.1,Endopterygota,47,73.44,"Mir-1993, Mir-22, Mir-242, Mir-306, Mir-36, Mir-970",58,90.62,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-316, Mir-929, Mir-932, Mir-989"
Limnoperna fortunei,GCA_944589985.1,Mollusca,47,90.38,,52,100.0,"Mir-1984, Mir-1985, Mir-210, Mir-242, Mir-2722"
Chrysodeixis includens,GCA_903961255.1,Lepidoptera,48,71.64,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36",60,89.55,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-316, Mir-932, Mir-957, Mir-970, Mir-999"
Notocelia uddmanniana,GCA_905163575.1,Lepidoptera,48,71.64,"Mir-12, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-970, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-22, Mir-275, Mir-2765, Mir-932, Mir-957, Mir-965"
Ophion luteus,GCA_944452715.1,Endopterygota,41,64.06,"Mir-22, Mir-36, Mir-970, Mir-989",60,93.75,"Bantam, Mir-1000, Mir-124, Mir-14, Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-927, Mir-929, Mir-932, Mir-965, Mir-971"
Blastobasis lacticolella,GCA_905147205.1,Lepidoptera,46,68.66,"Mir-12, Mir-1993, Mir-219, Mir-242, Mir-278, Mir-3049, Mir-315, Mir-36, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-22, Mir-2765, Mir-29, Mir-3, Mir-932, Mir-957, Mir-970, Mir-988"
Clostera curtula,GCA_905475355.2,Lepidoptera,50,74.63,"Mir-12, Mir-1993, Mir-242, Mir-3049",63,94.03,"Mir-1000, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Sabethes cyaneus,GCA_943734655.1,Diptera,51,76.12,"Mir-1993, Mir-2001, Mir-242, Mir-3049",63,94.03,"Mir-14, Mir-153, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-316, Mir-36, Mir-750, Mir-957, Mir-970, Mir-999"
Mustela putorius,GCA_902460205.1,Laurasiatheria,163,75.12,"Mir-122, Mir-1301, Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-2001, Mir-2184, Mir-2188, Mir-224, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-452, Mir-456, Mir-458, Mir-460, Mir-598, Mir-675, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76",185,85.25,"Mir-1296, Mir-1805, Mir-1842, Mir-2114, Mir-2355, Mir-2387, Mir-324, Mir-448, Mir-4541, Mir-483, Mir-541, Mir-590, Mir-592, Mir-671, Mir-6715, Mir-672, Mir-676, Mir-71, Mir-722, Mir-737, Mir-873, Mir-877"
Hestina assimilis,GCA_023373885.1,Lepidoptera,51,76.12,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-22, Mir-2765, Mir-970"
Erebia aethiops,GCA_923062935.1,Lepidoptera,46,68.66,"Iab-4, Mir-10, Mir-12, Mir-242, Mir-3049, Mir-375, Mir-71, Mir-957",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Mesoligia furuncula,GCA_916614155.1,Lepidoptera,47,70.15,"Mir-12, Mir-3049, Mir-375, Mir-957, Mir-999",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-2001, Mir-219, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-36, Mir-932, Mir-970, Mir-988"
Lasiommata megera,GCA_928267235.1,Lepidoptera,48,71.64,"Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",60,89.55,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-22, Mir-2765, Mir-316, Mir-375, Mir-71, Mir-970, Mir-988"
Hyalella azteca,GCA_000764305.2,Pancrustacea,33,62.26,"Mir-124, Mir-137, Mir-22, Mir-242, Mir-275, Mir-3, Mir-315, Mir-36, Mir-375",44,83.02,"Iab-4, Mir-1175, Mir-1993, Mir-2001, Mir-216, Mir-2765, Mir-278, Mir-282, Mir-316, Mir-33, Mir-965"
Linepithema humile,GCA_000217595.1,Endopterygota,42,65.62,"Mir-153, Mir-22, Mir-242, Mir-3049, Mir-36, Mir-970, Mir-989",57,89.06,"Iab-4, Mir-1000, Mir-14, Mir-1993, Mir-2001, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-306, Mir-316, Mir-375, Mir-929, Mir-932, Mir-965"
Homo sapiens,GCA_018506975.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Homo sapiens,GCA_018504625.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",220,89.8,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Culter alburnus,GCA_009869775.1,Clupeocephala,96,84.21,"Mir-1329, Mir-2001, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-76",105,92.11,"Mir-147, Mir-191, Mir-242, Mir-425, Mir-4541, Mir-71, Mir-7133, Mir-729, Mir-875"
Mimas tiliae,GCA_905333085.1,Lepidoptera,47,70.15,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-375, Mir-929, Mir-932, Mir-970, Mir-988"
Tachina fera,GCA_905220375.1,Diptera,42,62.69,"Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",59,88.06,"Mir-1000, Mir-1175, Mir-153, Mir-193, Mir-2001, Mir-275, Mir-282, Mir-29, Mir-3, Mir-306, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999"
Archocentrus centrarchus,GCA_007364275.2,Clupeocephala,99,86.84,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-315, Mir-71, Mir-76",106,92.98,"Mir-147, Mir-281, Mir-32, Mir-4057, Mir-4541, Mir-729, Mir-875"
Selenia dentaria,GCA_917880725.1,Lepidoptera,47,70.15,"Mir-12, Mir-153, Mir-219, Mir-3049, Mir-36, Mir-957, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-193, Mir-22, Mir-242, Mir-2765, Mir-3, Mir-306, Mir-315, Mir-76, Mir-932, Mir-970, Mir-988"
Pararge aegeria,GCA_905163445.1,Lepidoptera,50,74.63,"Mir-3049, Mir-315, Mir-375, Mir-957, Mir-999",62,92.54,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-932, Mir-970, Mir-988"
Parasteatoda tepidariorum,GCA_000365465.3,Chelicerata,40,78.43,"Mir-12, Mir-2001, Mir-31, Mir-5735",47,92.16,"Mir-1175, Mir-153, Mir-1993, Mir-216, Mir-242, Mir-33, Mir-3931"
Phlogophora meticulosa,GCA_905147745.2,Lepidoptera,48,71.64,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-375, Mir-957",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Homo sapiens,GCA_018466855.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Phyto melanocephala,GCA_941918925.1,Diptera,44,65.67,"Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",59,88.06,"Mir-1175, Mir-14, Mir-153, Mir-193, Mir-2001, Mir-29, Mir-3, Mir-306, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999"
Dermacentor andersoni,GCA_023375885.2,Chelicerata,46,90.2,"Mir-1993, Mir-216, Mir-242, Mir-5735",47,92.16,Mir-5305
Tholera decimalis,GCA_943138005.1,Lepidoptera,47,70.15,"Mir-3049, Mir-36, Mir-375",64,95.52,"Mir-1000, Mir-12, Mir-124, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-33, Mir-957, Mir-970, Mir-988, Mir-999"
Mellicta athalia,GCA_905220545.1,Lepidoptera,51,76.12,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-2765, Mir-970, Mir-999"
Patella vulgata,GCA_932274405.1,Mollusca,45,86.54,Mir-210,51,98.08,"Mir-1984, Mir-1985, Mir-219, Mir-2722, Mir-278, Mir-36"
Homo sapiens,GCA_018506165.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Homo sapiens,GCA_018472855.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Tinea trinotella,GCA_905220625.1,Lepidoptera,46,68.66,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-36, Mir-375, Mir-957, Mir-988, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-750, Mir-929, Mir-970, Mir-989"
Autographa gamma,GCA_905146835.1,Lepidoptera,46,68.66,"Mir-12, Mir-14, Mir-153, Mir-219, Mir-3049, Mir-375, Mir-71, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-2765, Mir-306, Mir-315, Mir-36, Mir-932, Mir-970, Mir-988"
Osmia bicornis bicornis,GCA_907164925.1,Endopterygota,43,67.19,"Iab-4, Mir-153, Mir-1993, Mir-242, Mir-31, Mir-36, Mir-970, Mir-989",56,87.5,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-971"
Ochlodes sylvanus,GCA_905404205.1,Lepidoptera,40,59.7,"Bantam, Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-929, Mir-957",57,85.07,"Mir-1000, Mir-14, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-276, Mir-2765, Mir-306, Mir-33, Mir-71, Mir-932, Mir-970, Mir-971, Mir-988, Mir-989, Mir-999"
Homo sapiens,GCA_018471075.1,Catarrhini,184,75.1,"Mir-105, Mir-1298, Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-188, Mir-1911, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-221, Mir-223, Mir-224, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-361, Mir-362, Mir-374, Mir-384, Mir-4057, Mir-448, Mir-452, Mir-4541, Mir-456, Mir-504, Mir-505, Mir-542, Mir-651, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76, Mir-934",202,82.45,"Mir-1277, Mir-1329, Mir-1379, Mir-1416, Mir-1912, Mir-2387, Mir-242, Mir-325, Mir-450, Mir-458, Mir-460, Mir-652, Mir-672, Mir-676, Mir-71, Mir-7180, Mir-722, Mir-737"
Diuraphis noxia,GCA_001186385.1,Neoptera,32,51.61,"Mir-12, Mir-133, Mir-153, Mir-1993, Mir-2001, Mir-216, Mir-22, Mir-242, Mir-2765, Mir-282, Mir-3, Mir-306, Mir-31, Mir-33, Mir-36, Mir-932",46,74.19,"Iab-4, Mir-1, Mir-14, Mir-210, Mir-275, Mir-277, Mir-2796, Mir-3049, Mir-316, Mir-317, Mir-8, Mir-929, Mir-965, Mir-971"
Tinea semifulvella,GCA_910589645.1,Lepidoptera,46,68.66,"Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-989, Mir-999",60,89.55,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-2001, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-316, Mir-929, Mir-970, Mir-988"
Limnephilus marmoratus,GCA_917880885.1,Endopterygota,44,68.75,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-36",59,92.19,"Mir-14, Mir-153, Mir-275, Mir-2765, Mir-29, Mir-3, Mir-306, Mir-315, Mir-316, Mir-71, Mir-750, Mir-932, Mir-970, Mir-971, Mir-989"
Lynx canadensis,GCA_007474595.1,Laurasiatheria,169,77.88,"Mir-105, Mir-1329, Mir-1397, Mir-1662, Mir-1788, Mir-2001, Mir-203, Mir-2114, Mir-2184, Mir-2188, Mir-224, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-452, Mir-456, Mir-458, Mir-460, Mir-541, Mir-598, Mir-676, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",184,84.79,"Mir-1296, Mir-1379, Mir-1416, Mir-149, Mir-1805, Mir-2355, Mir-2483, Mir-337, Mir-350, Mir-448, Mir-4541, Mir-483, Mir-672, Mir-722, Mir-769"
Agrochola circellaris,GCA_914767755.1,Lepidoptera,48,71.64,"Mir-3049, Mir-315, Mir-957",64,95.52,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Plectropomus leopardus,GCA_011397275.1,Clupeocephala,97,85.09,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4541, Mir-489, Mir-76, Mir-875",103,90.35,"Mir-122, Mir-147, Mir-32, Mir-4057, Mir-71, Mir-729"
Pholis gunnellus,GCA_910591455.2,Clupeocephala,97,85.09,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-4541, Mir-76, Mir-875",102,89.47,"Mir-147, Mir-191, Mir-451, Mir-71, Mir-729"
Pararge aegeria,GCA_905163545.1,Lepidoptera,46,68.66,"Mir-3049, Mir-315, Mir-375, Mir-999",63,94.03,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-190, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-36, Mir-71, Mir-932, Mir-957, Mir-970, Mir-971, Mir-988"
Philereme vetulata,GCA_918857605.1,Lepidoptera,44,65.67,"Mir-3049, Mir-36, Mir-375",64,95.52,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-3, Mir-306, Mir-71, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Limulus polyphemus,GCA_000517525.1,Chelicerata,50,98.04,,51,100.0,Mir-242
Fabriciana adippe,GCA_905404265.1,Lepidoptera,50,74.63,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957",58,86.57,"Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-2765, Mir-71, Mir-970, Mir-999"
Malachius bipustulatus,GCA_910589365.1,Endopterygota,49,76.56,"Mir-153, Mir-2001, Mir-242, Mir-278, Mir-36",59,92.19,"Mir-22, Mir-275, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-750, Mir-965, Mir-970, Mir-989"
Cuculus canorus,GCA_017976375.1,Neognathae,99,77.34,"Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-4541, Mir-459, Mir-599, Mir-71, Mir-722, Mir-725, Mir-727, Mir-76",112,87.5,"Mir-139, Mir-1559, Mir-1662, Mir-1720, Mir-1729, Mir-1781, Mir-1805, Mir-2131, Mir-2184, Mir-2984, Mir-7147, Mir-726, Mir-875"
Diachrysia chrysitis,GCA_932294375.1,Lepidoptera,48,71.64,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957",58,86.57,"Mir-1000, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-988, Mir-999"
Pammene fasciana,GCA_911728535.1,Lepidoptera,46,68.66,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-3, Mir-306, Mir-932, Mir-957, Mir-965, Mir-970"
Blastobasis adustella,GCA_907269095.1,Lepidoptera,47,70.15,"Mir-12, Mir-1993, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-29, Mir-3, Mir-932, Mir-970, Mir-988"
Eufriesea mexicana,GCA_001483705.1,Endopterygota,45,70.31,"Mir-153, Mir-22, Mir-242, Mir-36, Mir-970, Mir-989",58,90.62,"Mir-1000, Mir-14, Mir-1993, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-971"
Canis lupus familiaris,GCA_000002285.4,Laurasiatheria,182,83.87,"Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",189,87.1,"Mir-458, Mir-541, Mir-598, Mir-670, Mir-672, Mir-722, Mir-760"
Neomonachus schauinslandi,GCA_002201575.1,Laurasiatheria,175,80.65,"Mir-1329, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76",189,87.1,"Mir-1379, Mir-203, Mir-2114, Mir-2355, Mir-448, Mir-452, Mir-541, Mir-598, Mir-672, Mir-675, Mir-722, Mir-737, Mir-769, Mir-9851"
Pieris rapae,GCA_905147735.1,Lepidoptera,43,64.18,"Mir-12, Mir-14, Mir-153, Mir-184, Mir-190, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-988, Mir-999",53,79.1,"Mir-1000, Mir-22, Mir-2765, Mir-306, Mir-375, Mir-71, Mir-929, Mir-932, Mir-970, Mir-989"
Homo sapiens,GCA_018472835.1,Catarrhini,184,75.1,"Mir-105, Mir-1298, Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-188, Mir-1911, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-221, Mir-223, Mir-224, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-361, Mir-362, Mir-374, Mir-384, Mir-4057, Mir-448, Mir-452, Mir-4541, Mir-456, Mir-504, Mir-505, Mir-542, Mir-651, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76, Mir-934",201,82.04,"Mir-1277, Mir-1329, Mir-1379, Mir-1416, Mir-1912, Mir-2387, Mir-325, Mir-450, Mir-458, Mir-460, Mir-652, Mir-672, Mir-676, Mir-71, Mir-7180, Mir-722, Mir-737"
Lagenorhynchus obliquidens,GCA_003676395.1,Laurasiatheria,173,79.72,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-726, Mir-727, Mir-76",191,88.02,"Mir-1296, Mir-1301, Mir-1307, Mir-1329, Mir-1379, Mir-1805, Mir-1842, Mir-187, Mir-1911, Mir-339, Mir-350, Mir-592, Mir-653, Mir-672, Mir-722, Mir-725, Mir-737, Mir-744"
Apotomis betuletana,GCA_932273875.1,Lepidoptera,51,76.12,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-999",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-2765, Mir-2796, Mir-306, Mir-932, Mir-957, Mir-970"
Griposia aprilina,GCA_916610205.1,Lepidoptera,48,71.64,"Mir-12, Mir-242, Mir-3049, Mir-999",63,94.03,"Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-36, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988"
Sesia bembeciformis,GCA_943735985.1,Lepidoptera,50,74.63,"Mir-12, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-193, Mir-22, Mir-275, Mir-2765, Mir-932, Mir-970"
Galleria mellonella,GCA_003640425.2,Lepidoptera,48,71.64,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36",62,92.54,"Mir-1000, Mir-153, Mir-190, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-71, Mir-929, Mir-932, Mir-957, Mir-970, Mir-999"
Pollenia angustigena,GCA_930374645.1,Diptera,45,67.16,"Mir-153, Mir-1993, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750, Mir-76",58,86.57,"Mir-1175, Mir-2001, Mir-242, Mir-275, Mir-29, Mir-306, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999"
Aricia artaxerxes,GCA_937610355.1,Lepidoptera,38,56.72,"Mir-12, Mir-1993, Mir-22, Mir-242, Mir-281, Mir-3049, Mir-315, Mir-317, Mir-34, Mir-375, Mir-750",56,83.58,"Mir-1000, Mir-1175, Mir-14, Mir-153, Mir-210, Mir-219, Mir-275, Mir-2765, Mir-277, Mir-36, Mir-71, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-988, Mir-999"
Cimex lectularius,GCA_000648675.3,Neoptera,38,61.29,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-3, Mir-36, Mir-375",55,88.71,"Mir-1000, Mir-12, Mir-14, Mir-193, Mir-2001, Mir-275, Mir-2765, Mir-277, Mir-282, Mir-3049, Mir-306, Mir-316, Mir-33, Mir-927, Mir-929, Mir-932, Mir-965"
Sarcophaga variegata,GCA_932276125.1,Diptera,42,62.69,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-71, Mir-750, Mir-971",58,86.57,"Mir-1175, Mir-14, Mir-2001, Mir-22, Mir-275, Mir-29, Mir-3, Mir-306, Mir-36, Mir-76, Mir-87, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
